,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
56226,49051992697,49,051,992697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56227,49051992698,49,051,992698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56239,49057200100,49,057,200100,4062,1376,4062,2475,94,383,916,599,168,238,1376,26,63,37,49,57,106,77,59,89,104,77,67,79,72,36,67,27,61,97,40,57,17,12,0,30682,1396,1171,447,57100
56240,49057200200,49,057,200200,7561,2487,7561,4000,173,917,1147,1149,279,267,2487,163,346,101,141,105,133,89,129,118,137,72,126,132,94,93,27,54,33,111,101,103,66,0,0,25773,2495,1678,380,49500
56241,49057200300,49,057,200300,3601,1330,3601,1978,181,510,607,517,73,70,1330,152,179,102,71,85,67,89,66,102,64,83,59,65,35,14,13,15,0,12,17,27,7,6,0,20253,1385,828,314,49200
56242,49057200400,49,057,200400,1838,684,1838,991,73,247,263,272,94,42,684,37,109,37,60,60,10,80,25,51,40,23,47,13,18,11,6,0,0,17,11,17,6,6,0,20906,625,356,374,39300
56243,49057200500,49,057,200500,5011,1991,5011,2946,89,562,743,904,233,343,1991,142,174,96,93,127,120,119,144,153,109,94,92,109,82,22,35,38,0,69,44,81,48,0,0,24661,1995,1290,387,49800
56244,49057200600,49,057,200600,4306,1536,4306,2701,119,277,744,811,199,426,1536,20,97,57,21,76,85,102,65,108,51,72,49,107,72,70,53,46,67,87,71,107,31,13,0,33214,1523,1086,400,65000
56245,49057200700,49,057,200700,3193,1305,3193,2022,74,275,528,553,110,388,1305,40,82,105,35,95,81,77,38,78,81,67,60,56,109,101,55,25,15,54,25,15,7,4,0,28164,1258,857,422,54900
56246,49057200800,49,057,200800,3873,1687,3873,2358,238,520,685,533,181,185,1687,173,357,97,108,94,119,114,108,66,49,86,53,49,35,36,32,29,0,14,7,46,8,0,0,17805,1665,779,286,41800
56247,49057200900,49,057,200900,3708,1720,3708,2224,340,505,631,356,196,145,1720,256,342,157,153,124,93,95,112,48,83,21,38,34,20,58,8,10,0,49,6,13,0,0,0,14216,1725,288,274,38000
56248,49057201100,49,057,201100,1349,323,1349,908,246,185,251,151,31,27,323,70,65,38,27,0,6,12,13,10,12,13,21,0,0,9,5,0,0,0,0,4,18,0,0,11743,355,90,188,23000
56249,49057201200,49,057,201200,1877,709,1877,1107,299,244,291,192,36,19,709,201,138,56,32,37,21,75,25,37,21,8,23,9,0,21,0,0,0,0,0,0,0,0,5,10692,688,273,273,33900
